scope,subset,config,family,k,stat,n,mae,bias,rel_mae_vs_no_adjustment,coef,gamma
player,season_2024-25,P3_k40,P3,40,REB,4774.0,2.0468188446453413,-0.16614571841953293,0.9953394675983024,,
player,season_2024-25,P3_k40,P3,40,STL,4774.0,0.8199467132433951,-0.13020642173635474,0.9897358203321004,,
player,season_2024-25,P3_k40,P3,40,BLK,4774.0,0.557389049470227,-0.11124332424122192,0.9722235485532154,,
player,season_2024-25,P3_k40,P3,40,FG3M,4774.0,1.1264033925101504,-0.15710184631421856,1.0003217650305856,,
player,season_2024-25,P3_k40,P3,40,TOV,4774.0,1.0831058944461522,-0.1430268271103531,1.0000726571324117,,
player,season_2024-25,P3_k40,P3,40,FG3A,4774.0,1.833227014098897,-0.1824593626851401,0.9986794100647985,,
player,season_2024-25,P3_k40,P3,40,OREB,4774.0,0.9057411018613095,-0.11996015921188043,0.9981927941170305,,
player,season_2024-25,P3_k40,P3,40,POOLED,4774.0,,,0.9932936873596294,,
player,season_2024-25,P3_k80,P3,80,PTS,4774.0,5.641797284309821,-0.7352803482482778,0.9902338376912196,,
player,season_2024-25,P3_k80,P3,80,AST,4774.0,1.687283888100342,-0.21644220757670457,0.9965322693547769,,
player,season_2024-25,P3_k80,P3,80,REB,4774.0,2.0500554297950497,-0.15455717000719385,0.9969133738324447,,
player,season_2024-25,P3_k80,P3,80,STL,4774.0,0.8200656037785584,-0.12792632032214055,0.989879329927845,,
player,season_2024-25,P3_k80,P3,80,BLK,4774.0,0.5568962785384863,-0.10623907931633014,0.9713640348897586,,
player,season_2024-25,P3_k80,P3,80,FG3M,4774.0,1.125273299696911,-0.147657732163576,0.999318166812483,,
player,season_2024-25,P3_k80,P3,80,TOV,4774.0,1.0824331012739927,-0.13655207614426487,0.9994514417380239,,
player,season_2024-25,P3_k80,P3,80,FG3A,4774.0,1.8324608089093986,-0.21394609620262212,0.9982620076695948,,
player,season_2024-25,P3_k80,P3,80,OREB,4774.0,0.9053229382255386,-0.12508621438428874,0.9977319472733457,,
