season,player_id,stat,game_index,actual,blended,clean,n_playoff_rows,prior_mpg
2025-26,1631095,TOV,4,1.0,0.847654848403301,1.0567592450514038,7,30.087719298245613
2025-26,1631095,FG3A,4,3.0,3.569701403839254,4.798726407856376,7,30.087719298245613
2025-26,1631095,OREB,4,0.0,1.337145676354503,1.8190118152524166,7,30.087719298245613
2025-26,1631096,PTS,0,28.0,15.385238178328391,14.75848282080486,23,27.4375
2025-26,1631096,AST,0,2.0,1.5794024699974796,1.941094817767654,23,27.4375
2025-26,1631096,REB,0,7.0,8.473029721398243,7.91843441533789,23,27.4375
2025-26,1631096,STL,0,0.0,0.7432482211752846,0.708653663629461,23,27.4375
2025-26,1631096,BLK,0,0.0,2.1182574303495607,2.1875830485952927,23,27.4375
2025-26,1631096,FG3M,0,2.0,1.31926559258613,1.3556852695520123,23,27.4375
2025-26,1631096,TOV,0,3.0,1.5608212644680974,1.7254176157934704,23,27.4375
2025-26,1631096,FG3A,0,5.0,3.846309544582098,3.57407934700076,23,27.4375
2025-26,1631096,OREB,0,2.0,1.6723084976443903,1.4789293849658316,23,27.4375
2025-26,1631096,PTS,1,15.0,15.385238178328391,14.75848282080486,23,27.4375
2025-26,1631096,AST,1,2.0,1.5794024699974796,1.941094817767654,23,27.4375
2025-26,1631096,REB,1,12.0,8.473029721398243,7.91843441533789,23,27.4375
2025-26,1631096,STL,1,2.0,0.7432482211752846,0.708653663629461,23,27.4375
2025-26,1631096,BLK,1,0.0,2.1182574303495607,2.1875830485952927,23,27.4375
2025-26,1631096,FG3M,1,0.0,1.31926559258613,1.3556852695520123,23,27.4375
2025-26,1631096,TOV,1,3.0,1.5608212644680974,1.7254176157934704,23,27.4375
2025-26,1631096,FG3A,1,6.0,3.846309544582098,3.57407934700076,23,27.4375
2025-26,1631096,OREB,1,3.0,1.6723084976443903,1.4789293849658316,23,27.4375
2025-26,1631096,PTS,2,31.0,15.385238178328391,14.75848282080486,23,27.4375
2025-26,1631096,AST,2,1.0,1.5794024699974796,1.941094817767654,23,27.4375
2025-26,1631096,REB,2,11.0,8.473029721398243,7.91843441533789,23,27.4375
2025-26,1631096,STL,2,3.0,0.7432482211752846,0.708653663629461,23,27.4375
2025-26,1631096,BLK,2,1.0,2.1182574303495607,2.1875830485952927,23,27.4375
2025-26,1631096,FG3M,2,6.0,1.31926559258613,1.3556852695520123,23,27.4375
2025-26,1631096,TOV,2,3.0,1.5608212644680974,1.7254176157934704,23,27.4375
2025-26,1631096,FG3A,2,8.0,3.846309544582098,3.57407934700076,23,27.4375
2025-26,1631096,OREB,2,3.0,1.6723084976443903,1.4789293849658316,23,27.4375
2025-26,1631096,PTS,3,18.0,15.385238178328391,14.75848282080486,23,27.4375
2025-26,1631096,AST,3,2.0,1.5794024699974796,1.941094817767654,23,27.4375
2025-26,1631096,REB,3,11.0,8.473029721398243,7.91843441533789,23,27.4375
2025-26,1631096,STL,3,0.0,0.7432482211752846,0.708653663629461,23,27.4375
2025-26,1631096,BLK,3,4.0,2.1182574303495607,2.1875830485952927,23,27.4375
2025-26,1631096,FG3M,3,2.0,1.31926559258613,1.3556852695520123,23,27.4375
2025-26,1631096,TOV,3,3.0,1.5608212644680974,1.7254176157934704,23,27.4375
2025-26,1631096,FG3A,3,5.0,3.846309544582098,3.57407934700076,23,27.4375
2025-26,1631096,OREB,3,1.0,1.6723084976443903,1.4789293849658316,23,27.4375
2025-26,1631096,PTS,4,11.0,15.385238178328391,14.75848282080486,23,27.4375
2025-26,1631096,AST,4,3.0,1.5794024699974796,1.941094817767654,23,27.4375
2025-26,1631096,REB,4,5.0,8.473029721398243,7.91843441533789,23,27.4375
2025-26,1631096,STL,4,1.0,0.7432482211752846,0.708653663629461,23,27.4375
2025-26,1631096,BLK,4,3.0,2.1182574303495607,2.1875830485952927,23,27.4375
2025-26,1631096,FG3M,4,0.0,1.31926559258613,1.3556852695520123,23,27.4375
2025-26,1631096,TOV,4,3.0,1.5608212644680974,1.7254176157934704,23,27.4375
2025-26,1631096,FG3A,4,1.0,3.846309544582098,3.57407934700076,23,27.4375
2025-26,1631096,OREB,4,0.0,1.6723084976443903,1.4789293849658316,23,27.4375
2025-26,1631097,PTS,0,36.0,13.793048777414723,16.272118863049094,22,29.86111111111111
2025-26,1631097,AST,0,1.0,1.5281790997135682,1.9143669250645994,22,29.86111111111111
2025-26,1631097,REB,0,11.0,4.495804319157336,5.391195090439276,22,29.86111111111111
2025-26,1631097,STL,0,0.0,0.5521163198965149,0.6615826873385012,22,29.86111111111111
2025-26,1631097,BLK,0,0.0,0.30563581994271366,0.3378294573643411,22,29.86111111111111
2025-26,1631097,FG3M,0,3.0,1.1436695197856381,1.379470284237726,22,29.86111111111111
2025-26,1631097,TOV,0,4.0,1.5873344197024806,1.9002906976744187,22,29.86111111111111
2025-26,1631097,FG3A,0,8.0,3.431008559356914,4.053953488372094,22,29.86111111111111
2025-26,1631097,OREB,0,3.0,1.114091859791182,1.2246317829457365,22,29.86111111111111
2025-26,1631097,PTS,1,26.0,13.793048777414723,16.272118863049094,22,29.86111111111111
2025-26,1631097,AST,1,4.0,1.5281790997135682,1.9143669250645994,22,29.86111111111111
2025-26,1631097,REB,1,3.0,4.495804319157336,5.391195090439276,22,29.86111111111111
2025-26,1631097,STL,1,0.0,0.5521163198965149,0.6615826873385012,22,29.86111111111111
