part,scope,subset,config,stat,n,mae,bias,rel_mae,dir_acc,dir_bal_acc,coverage,pooled_rel_mae
player,2024-25,top150,min_3_0.75,TOV,9875,1.071740336416611,0.0004482472851068891,0.9969636510275621,0.5216052550549112,0.5265522265336031,0.986632911392405,0.9990974334741569
player,2024-25,top150,min_3_0.75,FG3A,9875,1.7794124218340535,-0.036756887520987616,0.9987789499707095,0.5299674609005983,0.5323308844921292,0.9647594936708861,0.9990974334741569
player,2024-25,top150,min_3_0.75,OREB,9875,0.9036468335293929,-0.010480507643805976,1.0009334002186734,0.5030240902101486,0.5115362818587998,0.9878481012658228,0.9990974334741569
player,2025-26,top150,min_3_0.75,PTS,9921,5.34747269623547,-0.12329440362551354,0.9929860540810798,0.5412834765032845,0.5418866719279908,0.9973792964418909,0.9984766039587962
player,2025-26,top150,min_3_0.75,AST,9921,1.607220077283213,-0.07057556128625606,0.9932052689423504,0.5320187029884123,0.533187043971485,0.9916339078721903,0.9984766039587962
player,2025-26,top150,min_3_0.75,REB,9921,2.07514315095326,-0.015025726206332062,1.0000723818704405,0.5301339285714286,0.5313584886227296,0.9934482411047273,0.9984766039587962
player,2025-26,top150,min_3_0.75,STL,9921,0.8280120482864963,0.005358294114078238,1.0016291862902942,0.5086947626841244,0.5116482931985419,0.9853845378490071,0.9984766039587962
player,2025-26,top150,min_3_0.75,BLK,9921,0.5907496087707437,-0.007188812547494666,1.0011762776874003,0.4971122112211221,0.5058820752223379,0.977320834593287,0.9984766039587962
player,2025-26,top150,min_3_0.75,FG3M,9921,1.0702505600916454,-0.009101225563825434,1.0011290385962979,0.5128369704749679,0.5164136476530503,0.9422437254309042,0.9984766039587962
player,2025-26,top150,min_3_0.75,TOV,9921,1.0547700978574976,0.033553056664934945,0.996828550748412,0.5219472451369793,0.5253391432515857,0.9897187783489567,0.9984766039587962
player,2025-26,top150,min_3_0.75,FG3A,9921,1.7201338244953857,-0.02388509307179309,0.995737784552369,0.535057650358367,0.5373472922119353,0.9703658905352283,0.9984766039587962
player,2025-26,top150,min_3_0.75,OREB,9921,0.919621758930259,0.007285347508308261,1.0035248928605114,0.50628127872536,0.5102218103243572,0.9868964822094547,0.9984766039587962
player,pooled,top150,form_3_0.75,PTS,29914,5.723074299215455,-0.09451220060132051,1.0446656059088897,0.5323299701672645,0.5324236643159819,0.9972922377482115,1.048846857846348
player,pooled,top150,form_3_0.75,AST,29914,1.713586510325209,-0.04291183304928761,1.0404249981738147,0.5354649397956086,0.5360235191930394,0.9911412716453835,1.048846857846348
player,pooled,top150,form_3_0.75,REB,29914,2.1644130717822407,-0.01661309332949136,1.0518481676457678,0.5309070096289812,0.5309123023842066,0.9929130173163068,1.048846857846348
