stat,base_rate_above,n_games,n_scored,evaluation,season,cutoff,n_calls,coverage,accuracy,balanced_accuracy,level_only_accuracy_same_games,level_only_balanced_accuracy,majority_accuracy_same_games,shipped,acc_ci_lo,acc_ci_hi,share_below_calls,accuracy_above_calls,accuracy_below_calls,lift_vs_level_only,lift_ci_lo,lift_ci_hi
TOV,0.43230742145612266,63161,62481,all_calls_loso,pooled,0.0,63161,1.0,0.5761431475168451,0.5217240030132343,0.5676925785438773,0.5,0.5676925785438773,False,,,,,,,,
TOV,0.43230742145612266,63161,62481,strong_lean_loso,pooled,0.09,21154,0.33492186634157156,0.6245087702482507,0.5245123333424675,0.6123837822294642,,0.6123837822294642,False,0.6162105619370405,0.6325384175157639,0.9503977762867823,0.6222222222222222,0.6246281075084463,0.012124988018786476,0.007622371932594252,0.01685362940645666
TOV,0.43230742145612266,21032,20787,strong_lean_loso,2023-24,0.09,7113,0.33819893495625714,0.63478012564249,0.5256652741200614,0.6233580810965162,,0.6233580810965162,False,0.6202390077145042,0.6490870379110362,0.9486007995431183,0.6111111111111112,0.636062612883805,0.01142204454597373,0.005032959953497254,0.018616997608614207
TOV,0.43230742145612266,20928,20719,strong_lean_loso,2024-25,0.095,6553,0.3131211773700306,0.6283199505867819,0.5259385387202438,0.6147313156269302,,0.6147313156269302,False,0.6134555042778651,0.6424012498655763,0.9521309450277949,0.6419354838709678,0.6276354200454103,0.013588634959851742,0.005858547265121186,0.023171040498161415
TOV,0.43230742145612266,21201,20975,strong_lean_loso,2025-26,0.09,7488,0.35319088722230085,0.611427024099648,0.522273277680211,0.5999187652315191,,0.5999187652315191,False,0.5973738093492433,0.6262601091097564,0.9505821825074465,0.6164383561643836,0.6111665004985045,0.011508258868128896,0.004386271652109822,0.01990169605179501
TOV,0.43230742145612266,63161,62481,shipped_cutoff_on_loso,pooled,0.09,21986,0.3480945520178591,0.6226084551196349,0.523651466964498,0.6109907334839334,,0.6109907334839334,False,0.6142879098975635,0.6307534936100215,0.9510396016781153,0.6186440677966102,0.6228125454457317,0.011617721635701517,0.007404225197659206,0.016351960519516536
FG3A,0.4523841103521454,63161,60316,all_calls_loso,pooled,0.0,63161,1.0,0.5854665428741959,0.5683890940357961,0.5345016247761788,0.4988925539938915,0.5476158896478547,True,,,,,,,,
FG3A,0.4523841103521454,63161,60316,strong_lean_loso,pooled,0.045,41243,0.652982061715299,0.6225642620232172,0.5890071399072743,0.5623963515754561,,0.5673714759535655,True,0.6143778968164388,0.6311178079051799,0.7610385572139303,0.6154847104749512,0.6247871978209056,0.06016791044776115,0.052548175841923304,0.06773438449790062
FG3A,0.4523841103521454,21032,20164,strong_lean_loso,2023-24,0.045,13533,0.6434480791175352,0.6369416751707355,0.5933734519806966,0.5803438260460004,,0.5831697935473742,True,0.6217956540086642,0.651765961788864,0.7774550592668185,0.6208112874779541,0.6415589660743134,0.05659784912473509,0.04373129782242045,0.06996267240858475
FG3A,0.4523841103521454,20928,19963,strong_lean_loso,2024-25,0.035,14744,0.7045107033639144,0.5987993635180096,0.5754857923253962,0.5432518443512223,,0.5494720092579198,True,0.5859625970732573,0.6123547463419511,0.7430927238536091,0.5960022522522522,0.5997664006229316,0.05554751916678724,0.043811381051976635,0.06806485399403679
FG3A,0.4523841103521454,21201,20189,strong_lean_loso,2025-26,0.05,12966,0.6115749257110513,0.6346553587760871,0.599022823092875,0.5653945289764696,,0.5712147667747568,True,0.6201439160995303,0.6491114506131213,0.7642803691693689,0.6345679012345679,0.6346823324630113,0.06926082979961756,0.05529534702470782,0.08441675852620234
FG3A,0.4523841103521454,63161,60316,shipped_cutoff_on_loso,pooled,0.045,40416,0.6398885388135084,0.6246327324704201,0.5899106030241068,0.5636729399931178,,0.5687551285105482,True,0.6163217542343983,0.6325394363331377,0.7648693718732629,0.6188224698862996,0.6264188815060908,0.06095979247730221,0.05312791392149583,0.06924695759295213
OREB,0.40428934700209507,63161,62527,all_calls_loso,pooled,0.0,63161,1.0,0.6014681657523949,0.5163045558687046,0.5954707566331345,0.5000083857959604,0.5957106529979049,False,,,,,,,,
OREB,0.40428934700209507,63161,62527,strong_lean_loso,pooled,0.075,41551,0.6578584886243093,0.6201454244789767,0.5073134781596124,0.6163517424187155,,0.6163517424187155,False,0.6127310525801006,0.6278637564885795,0.9865762019406142,0.6413043478260869,0.6198575266829353,0.0037936820602612054,0.002266478012488493,0.005545757894545214
OREB,0.40428934700209507,21032,20836,strong_lean_loso,2023-24,0.09,11577,0.5504469379992393,0.6513393246662594,0.5090347616229934,0.6464531890759968,,0.6464531890759968,False,0.6377962060779094,0.6649226265789635,0.9884826803943809,0.7121212121212122,0.6506311236649307,0.00488613559026263,0.0023329607165430643,0.007787986234443155
OREB,0.40428934700209507,20928,20702,strong_lean_loso,2024-25,0.07,15344,0.7331804281345565,0.6040870138431114,0.5075807514831905,0.6,,0.6,False,0.5924209729451672,0.6163555620951875,0.9840474620962426,0.628099173553719,0.6036977491961415,0.004087013843111387,0.0014249249737065205,0.00719122462170434
OREB,0.40428934700209507,21201,20989,strong_lean_loso,2025-26,0.075,14630,0.6900617895382293,0.6122843340234645,0.5055854181750528,0.6096618357487923,,0.6096618357487923,False,0.5998005254516513,0.6247746117085359,0.9877156659765356,0.6067415730337079,0.6123532699832308,0.0026224982746722025,0.00025905522591304636,0.005629830749084897
OREB,0.40428934700209507,63161,62527,shipped_cutoff_on_loso,pooled,0.075,43456,0.688019505707636,0.61870988745233,0.5071355593842345,0.6149893033206213,,0.6149893033206213,False,0.6113007891791673,0.6262007294534988,0.9867919263324342,0.6408450704225352,0.6184136110849279,0.0037205841317087263,0.0022516467622454932,0.005369891718618789
