N,k,stat,n_cases,mae,directional_acc,directional_n,rel_mae_vs_season_only
10,8,PTS,25662,5.557790429463567,51.28135010547699,25598,1.0104407176121504
10,8,AST,25662,1.655624234956033,52.352340559220856,25464,1.0054404161709234
10,8,REB,25662,2.0744580228059286,51.819322459222086,25504,1.0060958273370357
10,8,STL,25662,0.8186821147531952,52.695981684692505,25334,1.002356095801116
10,8,BLK,25662,0.5980278466881257,53.9056304520222,25220,1.0038217363518707
10,8,FG3M,25662,1.100324057777012,52.56812551610239,24220,1.0060701574420194
10,8,TOV,25662,1.0703030573504706,52.25509118840351,25387,1.0042739910829017
10,8,FG3A,25662,1.769842571839249,53.50541618008295,24833,1.0067019988882597
10,8,OREB,25662,0.9079647237278371,52.07562032296179,25390,1.004141005243146
10,8,POOLED,25662,,52.48997576558714,226950,1.0054824384366017
10,16,PTS,25662,5.51176250831623,51.27744355027737,25598,1.0020725565120565
10,16,AST,25662,1.6454146311681737,52.50157084511468,25464,0.9992402482435203
10,16,REB,25662,2.0618747690757657,51.98400250941029,25504,0.9999930482337421
10,16,STL,25662,0.8149684264375484,52.719665271966534,25334,0.9978092294973173
10,16,BLK,25662,0.5961762190468608,53.778747026169704,25220,1.0007136802902254
10,16,FG3M,25662,1.0938224877144325,52.489677952105694,24220,1.0001255127073634
10,16,TOV,25662,1.0644668402755408,51.94390829952338,25387,0.9987978215303499
10,16,FG3A,25662,1.7565702548854862,53.533604477912455,24833,0.9991525884379584
10,16,OREB,25662,0.9037465123801396,52.0677432059866,25390,0.9994759793095233
10,16,POOLED,25662,,52.47235073804802,226950,0.9997089627513406
10,32,PTS,25662,5.4975449037140915,51.45323853426049,25598,0.9994877079505218
10,32,AST,25662,1.6432990363011915,52.50942507068803,25464,0.997955473269467
10,32,REB,25662,2.0589469010811623,51.929109159347554,25504,0.9985730552813757
10,32,STL,25662,0.8146230359764255,52.68019262650982,25334,0.9973863495688331
10,32,BLK,25662,0.5955873357188265,53.909595559080095,25220,0.9997252081176841
10,32,FG3M,25662,1.0922196450849908,52.2914946325351,24220,0.9986599697837495
10,32,TOV,25662,1.0634891389184653,51.61696931500374,25387,0.9978804364615003
10,32,FG3A,25662,1.7536639688673015,53.35642089155559,24833,0.9974994674257278
10,32,OREB,25662,0.9028224239265761,51.94564789287121,25390,0.9984540066662634
10,32,POOLED,25662,,52.40625688477638,226950,0.9984024082805701
10,raw_h2h,PTS,25662,6.599256219127071,51.09431893817783,25541,1.1997856476219828
10,raw_h2h,AST,25662,1.9412732432489164,52.24741290781262,25318,1.1789115769047085
10,raw_h2h,REB,25662,2.4262490984755196,51.784588717302235,25384,1.176711732520235
10,raw_h2h,STL,25662,0.9143457437530454,52.79678548695098,25136,1.1194821694583663
10,raw_h2h,BLK,25662,0.6457294337993483,54.048323865909275,24998,1.0838914024483712
10,raw_h2h,FG3M,25662,1.262225877803391,52.85625130018723,24035,1.1541034467378701
10,raw_h2h,TOV,25662,1.2352514928502774,52.635132451646214,25179,1.1590464384795724
10,raw_h2h,FG3A,25662,2.101389955873228,53.489595984130844,24702,1.1952890628135677
10,raw_h2h,OREB,25662,1.0212646733543456,52.26758719200095,25203,1.1294422667776882
10,raw_h2h,POOLED,25662,,52.57210770922766,225496,1.1551848604180388
