row_type,subset,variant,mpg_source,quality,strength,fold,stat,n_cases,n_moved,mae,bias,rel_mae_vs_reference,fitted_s,ci_lo,ci_hi
eval,all_treated,pit_q_s0.50,pit,True,0.5,,POOLED,16101,16101.0,,,1.036740244271464,,,
eval,all_treated,pit_noq_s0.05,pit,False,0.05,,PTS,16101,16101.0,5.461413819292562,-0.23240974439017253,1.0008013896138068,,,
eval,all_treated,pit_noq_s0.05,pit,False,0.05,,AST,16101,16101.0,1.6328255019357027,-0.11677260267008928,1.000612507390996,,,
eval,all_treated,pit_noq_s0.05,pit,False,0.05,,REB,16101,16101.0,2.0543453518787,-0.04394282484783099,1.0016031711482944,,,
eval,all_treated,pit_noq_s0.05,pit,False,0.05,,STL,16101,16101.0,0.8133626195325815,0.007813065031731532,1.001333337161019,,,
eval,all_treated,pit_noq_s0.05,pit,False,0.05,,BLK,16101,16101.0,0.6039766923710476,-0.006066455340497413,1.0017354158181406,,,
eval,all_treated,pit_noq_s0.05,pit,False,0.05,,FG3M,16101,16101.0,1.0870083609171124,-0.01923648307631396,1.0018749523072001,,,
eval,all_treated,pit_noq_s0.05,pit,False,0.05,,TOV,16101,16101.0,1.0622605822599822,0.012121342752062132,1.0018719033239158,,,
eval,all_treated,pit_noq_s0.05,pit,False,0.05,,FG3A,16101,16101.0,1.7535409956819574,-0.03802333370870303,1.0016031915754906,,,
eval,all_treated,pit_noq_s0.05,pit,False,0.05,,OREB,16101,16101.0,0.9092729416844568,0.002200878004655872,1.0018494377075098,,,
eval,all_treated,pit_noq_s0.05,pit,False,0.05,,POOLED,16101,16101.0,,,1.0014761451162637,,,
eval,all_treated,pit_noq_s0.10,pit,False,0.1,,PTS,16101,16101.0,5.469321293200205,-0.08296868072964664,1.0022504303085713,,,
eval,all_treated,pit_noq_s0.10,pit,False,0.1,,AST,16101,16101.0,1.634421258121367,-0.08256214937745268,1.0015904034345287,,,
eval,all_treated,pit_noq_s0.10,pit,False,0.1,,REB,16101,16101.0,2.058557448957748,0.006427021133542217,1.0036567936259857,,,
eval,all_treated,pit_noq_s0.10,pit,False,0.1,,STL,16101,16101.0,0.8145612299127718,0.01714498039402424,1.00280895025551,,,
eval,all_treated,pit_noq_s0.10,pit,False,0.1,,BLK,16101,16101.0,0.6050679659958482,-0.0005245793545599789,1.0035453655266626,,,
eval,all_treated,pit_noq_s0.10,pit,False,0.1,,FG3M,16101,16101.0,1.0893211449905662,-0.002536874323026096,1.0040066014431215,,,
eval,all_treated,pit_noq_s0.10,pit,False,0.1,,TOV,16101,16101.0,1.0644675357387534,0.02918342262628927,1.0039533932325593,,,
eval,all_treated,pit_noq_s0.10,pit,False,0.1,,FG3A,16101,16101.0,1.75758614844567,0.007293073598447325,1.003913738023234,,,
eval,all_treated,pit_noq_s0.10,pit,False,0.1,,OREB,16101,16101.0,0.9110792554411724,0.013726714030074218,1.003839659057478,,,
eval,all_treated,pit_noq_s0.10,pit,False,0.1,,POOLED,16101,16101.0,,,1.0032850372119613,,,
eval,all_treated,pit_noq_s0.15,pit,False,0.15,,PTS,16101,16101.0,5.4807619796353455,0.06647238293087916,1.0043469304569352,,,
eval,all_treated,pit_noq_s0.15,pit,False,0.15,,AST,16101,16101.0,1.636622283289357,-0.04835169608481612,1.0029392146268834,,,
eval,all_treated,pit_noq_s0.15,pit,False,0.15,,REB,16101,16101.0,2.063744774097607,0.056796867114915384,1.0061858919127509,,,
eval,all_treated,pit_noq_s0.15,pit,False,0.15,,STL,16101,16101.0,0.8158538327806413,0.02647689575631695,1.004400277803918,,,
eval,all_treated,pit_noq_s0.15,pit,False,0.15,,BLK,16101,16101.0,0.6062099494668393,0.005017296631377451,1.005439420879494,,,
eval,all_treated,pit_noq_s0.15,pit,False,0.15,,FG3M,16101,16101.0,1.0918871908414527,0.014162734430261762,1.0063716771471445,,,
eval,all_treated,pit_noq_s0.15,pit,False,0.15,,TOV,16101,16101.0,1.0668961270274075,0.04624550250051637,1.0062439210158487,,,
eval,all_treated,pit_noq_s0.15,pit,False,0.15,,FG3A,16101,16101.0,1.7624720988526454,0.05260948090559765,1.0067045387707254,,,
eval,all_treated,pit_noq_s0.15,pit,False,0.15,,OREB,16101,16101.0,0.9130003132959296,0.025252550055492557,1.0059563070334165,,,
eval,all_treated,pit_noq_s0.15,pit,False,0.15,,POOLED,16101,16101.0,,,1.0053986866274573,,,
eval,all_treated,pit_noq_s0.20,pit,False,0.2,,PTS,16101,16101.0,5.496146658777261,0.215913446591405,1.0071661653242148,,,
eval,all_treated,pit_noq_s0.20,pit,False,0.2,,AST,16101,16101.0,1.639374819078073,-0.01414124279217954,1.0046259972830616,,,
eval,all_treated,pit_noq_s0.20,pit,False,0.2,,REB,16101,16101.0,2.0698256462034372,0.10716671309628857,1.0091506421087084,,,
eval,all_treated,pit_noq_s0.20,pit,False,0.2,,STL,16101,16101.0,0.8172529167830871,0.03580881111860966,1.0061226946196093,,,
eval,all_treated,pit_noq_s0.20,pit,False,0.2,,BLK,16101,16101.0,0.6073879935741395,0.010559172617314877,1.0073932851901277,,,
eval,all_treated,pit_noq_s0.20,pit,False,0.2,,FG3M,16101,16101.0,1.094695934765993,0.03086234318354962,1.0089604430542143,,,
eval,all_treated,pit_noq_s0.20,pit,False,0.2,,TOV,16101,16101.0,1.0695507662672934,0.0633075823747435,1.0087476461020648,,,
eval,all_treated,pit_noq_s0.20,pit,False,0.2,,FG3A,16101,16101.0,1.7683048290494634,0.09792588821274796,1.0100361296460556,,,
eval,all_treated,pit_noq_s0.20,pit,False,0.2,,OREB,16101,16101.0,0.9150788474554898,0.0367783860809109,1.0082464645686817,,,
eval,all_treated,pit_noq_s0.20,pit,False,0.2,,POOLED,16101,16101.0,,,1.0078277186551932,,,
eval,all_treated,pit_noq_s0.35,pit,False,0.35,,PTS,16101,16101.0,5.562819232523588,0.6642366375729826,1.0193838815900547,,,
eval,all_treated,pit_noq_s0.35,pit,False,0.35,,AST,16101,16101.0,1.6514663614076377,0.08849011708573022,1.0120358206072726,,,
eval,all_treated,pit_noq_s0.35,pit,False,0.35,,REB,16101,16101.0,2.0938715862432895,0.2582762510404082,1.0208743232196436,,,
eval,all_treated,pit_noq_s0.35,pit,False,0.35,,STL,16101,16101.0,0.8219826502612515,0.06380455720548779,1.0119454847181932,,,
eval,all_treated,pit_noq_s0.35,pit,False,0.35,,BLK,16101,16101.0,0.6111451409004646,0.02718480057512717,1.0136247633030515,,,
